,tweet#,user,tweet,cleanTweet,compound,positive,negative,neutral,cleancompound,cleanpositive,cleannegative,cleanneutral
118,18,@CBSNews,@CBSNews .@PressSec says White House has been briefed by the Chinese government on Kim Jong Un's visit to Bejiing.… https://t.co/yOwHD5EKCw,says White House has been briefed by the Chinese government on Kim Jong Un s visit to Bejiing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
119,19,@CBSNews,Fabiano Caruana has become the 1st American since Bobby Fischer to reach World Chess Championships.… https://t.co/G9z7JaEZu3,Fabiano Caruana has become the 1st American since Bobby Fischer to reach World Chess Championships,0.0258,0.068,0.0,0.932,0.5106,0.249,0.0,0.751
120,20,@CBSNews,In-N-Out Burger not amused by imposter CEO's online pranks https://t.co/yWw4YEduEn https://t.co/iqXZeOKGk1,In N Out Burger not amused by imposter CEO s online pranks,-0.3252,0.0,0.189,0.811,-0.3252,0.0,0.206,0.794
121,21,@CBSNews,"""I just killed my wife"": Mass. man admits baseball bat beating death, cops say https://t.co/Up3SRdudXm https://t.co/B6UqcRtlWT",I just killed my wife Mass man admits baseball bat beating death cops say,-0.8807,0.086,0.445,0.469,-0.8807,0.097,0.504,0.398
122,22,@CBSNews,Ohio cop disciplined after teen fatally shoots himself in police cruiser https://t.co/Takkr9cFCY https://t.co/QyvGIwVFPW,Ohio cop disciplined after teen fatally shoots himself in police cruiser,-0.6369,0.0,0.259,0.741,-0.6369,0.0,0.296,0.704
123,23,@CBSNews,Commentary: Could #MarchForOurLives be a setback for gun control? https://t.co/EEFQBZdlDq https://t.co/AHCSbHCPLT,Commentary Could MarchForOurLives be a setback for gun control,-0.34,0.0,0.211,0.789,-0.34,0.0,0.255,0.745
124,24,@CBSNews,Mom pleads guilty to killing toddler after he wet his bed https://t.co/wXx2ZImiRn https://t.co/U0JkrwMbAb,Mom pleads guilty to killing toddler after he wet his bed,-0.802,0.0,0.396,0.604,-0.802,0.0,0.444,0.556
125,25,@CBSNews,See Christina Aguilera's no-makeup look in Paper magazine https://t.co/0bLK45n9c7 https://t.co/FyAM5ZnUUY,See Christina Aguilera s no makeup look in Paper magazine,0.0,0.0,0.0,1.0,-0.296,0.0,0.216,0.784
126,26,@CBSNews,Jesse Wilson case: Skeletal remains ID'd as Ariz. boy who vanished in 2016 https://t.co/rr8hyNZiwT https://t.co/i2Xnn3B2FG,Jesse Wilson case Skeletal remains ID d as Ariz boy who vanished in 2016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
127,27,@CBSNews,NRA confirms that it accepts foreign donations https://t.co/FeyKvaCsd4 https://t.co/vl5WzZB9i3,NRA confirms that it accepts foreign donations,0.3182,0.223,0.0,0.777,0.3182,0.277,0.0,0.723
128,28,@CBSNews,"Mother arrested after toddler, baby found dead in car seats https://t.co/FOQflwE9DM https://t.co/8JWokgVIkG",Mother arrested after toddler baby found dead in car seats,-0.8126,0.0,0.425,0.575,-0.8126,0.0,0.481,0.519
129,29,@CBSNews,Mega Millions winning numbers announced for $458 million jackpot https://t.co/XMywu6RiNj https://t.co/8fYqHTpGFQ,Mega Millions winning numbers announced for 458 million jackpot,0.5267,0.254,0.0,0.746,0.5267,0.298,0.0,0.702
130,30,@CBSNews,"""Extremely traumatic"": Missing woman found after 10 days stranded in snow https://t.co/HYxhACk7di https://t.co/hmSDJDxQMj",Extremely traumatic Missing woman found after 10 days stranded in snow,-0.3566,0.0,0.171,0.829,-0.7559,0.0,0.418,0.582
131,31,@CBSNews,"The brother of Stephon Clark, who was killed earlier this month by police, interrupted a community forum to discuss… https://t.co/2Km9YlEyP6",The brother of Stephon Clark who was killed earlier this month by police interrupted a community forum to discuss,-0.7717,0.0,0.283,0.717,-0.7717,0.0,0.295,0.705
132,32,@CBSNews,".@jmpalmieri said ""privacy"" was among the reasons the Clinton campaign chose not to accept Facebook's offer, as Tru… https://t.co/3J4DEbhBeS",said privacy was among the reasons the Clinton campaign chose not to accept Facebook s offer as Tru,-0.2924,0.0,0.108,0.892,-0.2924,0.0,0.12,0.88
133,33,@CBSNews,"Chinese space station falling: Chances of getting hit pretty ""slim,"" expert says, but ""not zero.""… https://t.co/GfyNUV0gdz",Chinese space station falling Chances of getting hit pretty slim expert says but not zero,0.296,0.197,0.073,0.73,0.296,0.208,0.077,0.714
134,34,@CBSNews,"""The system has failed us."" The family of Alton Sterling condemned the decision by prosecutors to not charge the tw… https://t.co/yP8Eu5mZBn",The system has failed us The family of Alton Sterling condemned the decision by prosecutors to not charge the tw,-0.7351,0.0,0.246,0.754,-0.7351,0.0,0.256,0.744
135,35,@CBSNews,"Jennifer Palmieri, former director of communications for Hillary Clinton's 2016 presidential campaign, joined CBSN… https://t.co/qVo63990fb",Jennifer Palmieri former director of communications for Hillary Clinton s 2016 presidential campaign joined CBSN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
136,36,@CBSNews,A registered sex offender convicted of raping and killing a 14-year-old Ohio girl has been sentenced to death.… https://t.co/gfAtlptZUk,A registered sex offender convicted of raping and killing a 14 year old Ohio girl has been sentenced to death,-0.9153,0.0,0.496,0.504,-0.9493,0.0,0.562,0.438
137,37,@CBSNews,"A fertility clinic outside Cleveland admitted the failure of its freezer system was far worse than first thought, a… https://t.co/HDKRU5D87E",A fertility clinic outside Cleveland admitted the failure of its freezer system was far worse than first thought a,-0.7184,0.059,0.269,0.672,-0.7184,0.064,0.294,0.642
138,38,@CBSNews,@CBSNews .@PressSec says White House has been briefed by the Chinese government on Kim Jong Un's visit to Bejiing.… https://t.co/yOwHD5EKCw,says White House has been briefed by the Chinese government on Kim Jong Un s visit to Bejiing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
139,39,@CBSNews,Fabiano Caruana has become the 1st American since Bobby Fischer to reach World Chess Championships.… https://t.co/G9z7JaEZu3,Fabiano Caruana has become the 1st American since Bobby Fischer to reach World Chess Championships,0.0258,0.068,0.0,0.932,0.5106,0.249,0.0,0.751
140,40,@CBSNews,"William Strampel, the very person responsible for supervising ex-sports doctor Larry Nassar, was arrested for inapp… https://t.co/UlmYo8QEWw",William Strampel the very person responsible for supervising ex sports doctor Larry Nassar was arrested for inapp,-0.1335,0.125,0.15,0.725,-0.1335,0.125,0.15,0.725
141,41,@CBSNews,Facebook CEO Mark Zuckerberg is likely to testify before Congress over the data scandal involving his company.… https://t.co/4cr60DaYHS,Facebook CEO Mark Zuckerberg is likely to testify before Congress over the data scandal involving his company,-0.4404,0.0,0.146,0.854,-0.4404,0.0,0.153,0.847
142,42,@CBSNews,"Thanh Cong Phan had a history of writing crank letters to the military, and rambling notes included in the packages… https://t.co/ak2YcDLLMz",Thanh Cong Phan had a history of writing crank letters to the military and rambling notes included in the packages,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
143,43,@CBSNews,"""I don't think either one of them deserves to be in uniform."" Family of Alton Sterling devastated by decision not t… https://t.co/j2MtRCvvMC",I don t think either one of them deserves to be in uniform Family of Alton Sterling devastated by decision not t,-0.6124,0.0,0.16,0.84,-0.6124,0.0,0.182,0.818
144,44,@CBSNews,@CBSNews The trip marks the first known time Kim has left North Korea since taking power in 2011 and the first face… https://t.co/NtF0TTj9sg,The trip marks the first known time Kim has left North Korea since taking power in 2011 and the first face,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
145,45,@CBSNews,Chinese state media tells the Associated Press North Korean leader Kim Jong Un met with Chinese president Xi Jinpin… https://t.co/F71F9Jruqd,Chinese state media tells the Associated Press North Korean leader Kim Jong Un met with Chinese president Xi Jinpin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
146,46,@CBSNews,"""The cabinet's a clown car and and Congress is a circus. Who's in the clown car this week?"" Steve Lough is throwing… https://t.co/Pd52A7xbk2",The cabinet s a clown car and and Congress is a circus Who s in the clown car this week Steve Lough is throwing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
147,47,@CBSNews,The city of Baltimore says part of its 911 dispatch system was hacked over the weekend by an unknown actor. The bre… https://t.co/so699SQpWg,The city of Baltimore says part of its 911 dispatch system was hacked over the weekend by an unknown actor The bre,-0.4019,0.0,0.109,0.891,-0.4019,0.0,0.114,0.886
148,48,@CBSNews,Several anti-smoking groups are suing the Food and Drug Administration over a decision by Trump administration offi… https://t.co/olbEToIXet,Several anti smoking groups are suing the Food and Drug Administration over a decision by Trump administration offi,-0.2732,0.0,0.116,0.884,-0.5267,0.0,0.227,0.773
149,49,@CBSNews,"In a meeting with House Speaker Paul Ryan last week, President Trump floated the notion of having the funding for t… https://t.co/Dx4VGCkuUz",In a meeting with House Speaker Paul Ryan last week President Trump floated the notion of having the funding for t,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
150,50,@CBSNews,Uber Technnologies has agreed to pay $10 million to settle a class-action lawsuit alleging the ride-hailing company… https://t.co/oDeeuKgB80,Uber Technnologies has agreed to pay 10 million to settle a class action lawsuit alleging the ride hailing company,0.0164,0.12,0.168,0.712,0.0164,0.114,0.16,0.726
151,51,@CBSNews,China abandoned its space station in 2016. It has been losing altitude and falling to Earth ever since. Chip Reid t… https://t.co/yEh1yOLPLm,China abandoned its space station in 2016 It has been losing altitude and falling to Earth ever since Chip Reid t,-0.7351,0.0,0.275,0.725,-0.7351,0.0,0.298,0.702
152,52,@CBSNews,"""Right now we do not know whether it's mechanical or human or a combination."" A fertility clinic outside Cleveland… https://t.co/Erh2Gm1spo",Right now we do not know whether it s mechanical or human or a combination A fertility clinic outside Cleveland,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
153,53,@CBSNews,"In Russia today, shock turned to rage as awful details emerged from a fire in a shopping mall. At least 64 people w… https://t.co/7Cwuuuo6wY",In Russia today shock turned to rage as awful details emerged from a fire in a shopping mall At least 64 people w,-0.891,0.0,0.392,0.608,-0.891,0.0,0.42,0.58
154,54,@CBSNews,"Former Michigan State University dean William Strampel ""was definitely an enabler,"" MSU alumna tells @DrLaPook. Str… https://t.co/VYrxkT282d",Former Michigan State University dean William Strampel was definitely an enabler MSU alumna tells Str,0.4019,0.144,0.0,0.856,0.4019,0.162,0.0,0.838
155,55,@CBSNews,Sources tell CBS News it is likely that Facebook's CEO Mark Zuckerberg will testify before Congress about the priva… https://t.co/RJp7Odv0zC,Sources tell CBS News it is likely that Facebook s CEO Mark Zuckerberg will testify before Congress about the priva,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
156,56,@CBSNews,".@POTUS has long said that Mexico will pay for a border wall. Mexico has been just as insistent it will not. Now, t… https://t.co/kYxxkyFkgE",has long said that Mexico will pay for a border wall Mexico has been just as insistent it will not Now t,-0.1027,0.0,0.06,0.94,-0.1027,0.0,0.069,0.931
157,57,@CBSNews,"An arrest was made hours after reports that suspicious packages were turning up in and around Washington, D.C., inc… https://t.co/lcXMi3A0g5",An arrest was made hours after reports that suspicious packages were turning up in and around Washington D C inc,-0.5994,0.0,0.214,0.786,-0.5994,0.0,0.234,0.766
158,58,@CBSNews,"""I never feel like I will get justice. I think they should be fired,"" said a family member of Alton Sterling after… https://t.co/wZCt8uEpRw",I never feel like I will get justice I think they should be fired said a family member of Alton Sterling after,0.316,0.145,0.09,0.766,-0.3204,0.141,0.237,0.622
159,59,@CBSNews,"Twelve finalists were named for the 2018 World Video Game Hall of Fame class, including ""Ms. Pac-Man,"" ""Tomb Raider… https://t.co/q9hSxRoVEo",Twelve finalists were named for the 2018 World Video Game Hall of Fame class including Ms Pac Man Tomb Raider,0.4404,0.132,0.0,0.868,0.4404,0.132,0.0,0.868
160,60,@CBSNews,"The Trump administration's plan to add a citizenship question to the 2020 U.S. Census has elicited backlash, with s… https://t.co/YBYOvEax8H",The Trump administration s plan to add a citizenship question to the 2020 U S Census has elicited backlash with s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
161,61,@CBSNews,"Sean Penn smoked cigarettes during his interview on @colbertlateshow as he promoted his new book, a novel called ""B… https://t.co/j7QPPQBKxN",Sean Penn smoked cigarettes during his interview on as he promoted his new book a novel called B,0.6249,0.231,0.0,0.769,0.6249,0.267,0.0,0.733
162,62,@CBSNews,Police in a Phoenix suburb say skeletal remains found in a field have been positively identified as those of a 10-y… https://t.co/66ikzFv9ar,Police in a Phoenix suburb say skeletal remains found in a field have been positively identified as those of a 10 y,0.5267,0.159,0.0,0.841,0.5267,0.167,0.0,0.833
163,63,@CBSNews,"Man convicted of beating his dog so badly it had to be euthanized was sentenced to 8 to 10 years in prison,… https://t.co/O4iE7Zl10y",Man convicted of beating his dog so badly it had to be euthanized was sentenced to 8 to 10 years in prison,-0.7959,0.0,0.299,0.701,-0.8858,0.0,0.401,0.599
164,64,@CBSNews,"Atlanta city workers are using pencils and paper after hackers demanded $51,000 in Bitcoin to unblock access to ele… https://t.co/EpY8dNvCiC",Atlanta city workers are using pencils and paper after hackers demanded 51 000 in Bitcoin to unblock access to ele,-0.2263,0.0,0.091,0.909,-0.2263,0.0,0.091,0.909
165,65,@CBSNews,The major U.S. stock indexes veered sharply lower by the end of Tuesday trading after spending much of the day most… https://t.co/otqmiUuSNV,The major U S stock indexes veered sharply lower by the end of Tuesday trading after spending much of the day most,-0.296,0.0,0.095,0.905,-0.296,0.0,0.104,0.896
166,66,@CBSNews,Two kinds of Milo's Kitchen dog treats sold nationwide are being recalled because three pooches became ill after co… https://t.co/ByPkS02qnu,Two kinds of Milo s Kitchen dog treats sold nationwide are being recalled because three pooches became ill after co,-0.4215,0.0,0.128,0.872,-0.4215,0.0,0.135,0.865
167,67,@CBSNews,Retired SCOTUS Justice John Paul Stevens is calling for the repeal of the Second Amendment to allow for significant… https://t.co/hHblDXZOZp,Retired SCOTUS Justice John Paul Stevens is calling for the repeal of the Second Amendment to allow for significant,0.6486,0.227,0.0,0.773,0.7269,0.307,0.0,0.693
168,68,@CBSNews,Authorities have arrested a man suspected of sending a series of suspicious packages to military bases and governme… https://t.co/IdJRhAwyzu,Authorities have arrested a man suspected of sending a series of suspicious packages to military bases and governme,-0.7579,0.0,0.349,0.651,-0.7579,0.0,0.366,0.634
169,69,@CBSNews,The winter calving season for critically endangered right whales has nearly ended with zero newborns spotted in the… https://t.co/IkRijuB9sO,The winter calving season for critically endangered right whales has nearly ended with zero newborns spotted in the,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
170,70,@CBSNews,"""If we focus on the protesting and not focus on what brought us here -- the police brutality and the police terror… https://t.co/AG6VkFQWTQ",If we focus on the protesting and not focus on what brought us here the police brutality and the police terror,-0.7783,0.0,0.245,0.755,-0.8807,0.0,0.362,0.638
171,71,@CBSNews,"Officials have released shocking dash cam footage of a car hitting a trooper, catapulting him into the air. https://t.co/WJrZo3pedf",Officials have released shocking dash cam footage of a car hitting a trooper catapulting him into the air,-0.4019,0.0,0.144,0.856,-0.4019,0.0,0.153,0.847
172,72,@CBSNews,"A 19,000-pound space station is falling toward Earth and scientists project it may land sometime between Saturday a… https://t.co/7aTZ4cA638",A 19 000 pound space station is falling toward Earth and scientists project it may land sometime between Saturday a,-0.1531,0.0,0.086,0.914,-0.1531,0.0,0.086,0.914
173,73,@CBSNews,"Q: Former President Carter said on CBS that ""most people want to see a president with basic moral boundaries."" What… https://t.co/sR1aY3heyv",Q Former President Carter said on CBS that most people want to see a president with basic moral boundaries What,0.1477,0.077,0.0,0.923,0.1477,0.085,0.0,0.915
174,74,@CBSNews,The White House counsel's office follows up with staff to assist in compliance with various ethics standards but it… https://t.co/VrIfU4uJxt,The White House counsel s office follows up with staff to assist in compliance with various ethics standards but it,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
175,75,@CBSNews,"""There are no plans for him to come back. They have spoken one time since his departure. That I am aware of,""… https://t.co/39POy4JWqd",There are no plans for him to come back They have spoken one time since his departure That I am aware of,-0.296,0.0,0.095,0.905,-0.296,0.0,0.099,0.901
176,76,@CBSNews,"Q: Does that mean @POTUS wants the military to pay for the border wall? 

@PressSec: I am not going to get into the… https://t.co/Lece9ZGKDk",Q Does that mean wants the military to pay for the border wall I am not going to get into the,-0.1027,0.0,0.06,0.94,-0.1027,0.0,0.072,0.928
177,77,@CBSNews,"""That's a question you would have to ask the president's attorney. I cannot speak on behalf of him,"" @PressSec said… https://t.co/sUXSy92asm",That s a question you would have to ask the president s attorney I cannot speak on behalf of him said,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
178,78,@CBSNews,"""The president has still been engaged. He gives us messages to deliver on his behalf on a regular basis, but he has… https://t.co/RtQ1N9gNVx",The president has still been engaged He gives us messages to deliver on his behalf on a regular basis but he has,0.2144,0.081,0.0,0.919,0.2144,0.085,0.0,0.915
179,79,@CBSNews,"""This question has been included in every sense of since 1965 with the exception of 2010 when it was removed. It's… https://t.co/0H2PE0EJBt",This question has been included in every sense of since 1965 with the exception of 2010 when it was removed It s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
180,80,@CBSNews,".@PressSec announces memorial opening from April 12-18, which will feature 22,000 engraved pills displaying the fac… https://t.co/vV1FPEr9I4",announces memorial opening from April 12 18 which will feature 22 000 engraved pills displaying the fac,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
181,81,@CBSNews,WATCH LIVE: White House holds press briefing amid reports President Trump might bring back fired staff secretary Ro… https://t.co/he3aIjpMGw,WATCH LIVE White House holds press briefing amid reports President Trump might bring back fired staff secretary Ro,-0.5574,0.0,0.167,0.833,-0.5574,0.0,0.175,0.825
182,82,@CBSNews,"He is the ""adrenaline junky"" who drives race cars and is no stranger to high-profile cases and clients. He's Michae… https://t.co/vMFIeYepcl",He is the adrenaline junky who drives race cars and is no stranger to high profile cases and clients He s Michae,-0.296,0.0,0.099,0.901,-0.296,0.0,0.099,0.901
183,83,@CBSNews,WATCH: A zoo in Israel is gearing up for Passover by swapping these gorillas' snacks with matzo https://t.co/Z0TutDEgBJ,WATCH A zoo in Israel is gearing up for Passover by swapping these gorillas snacks with matzo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
184,84,@CBSNews,Apple unveils an ultra-light iPad with stylus support in a challenge to Google's  Chromebook https://t.co/uTcpxtquzL https://t.co/e3guS1Uo5v,Apple unveils an ultra light iPad with stylus support in a challenge to Google s Chromebook,0.4588,0.235,0.0,0.765,0.4588,0.25,0.0,0.75
185,85,@CBSNews,RT @CBSThisMorning: Wednesday on @CBSThisMorning: @GayleKing sits down with jewelry designer @KendraScott to discuss how she turned $500 in…,RT Wednesday on sits down with jewelry designer to discuss how she turned 500 in,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
186,86,@CBSNews,"After spending 23 years in prison for a crime he didn't commit, this man is heading back to his old job as a ground… https://t.co/Xr6H29V6kC",After spending 23 years in prison for a crime he didn t commit this man is heading back to his old job as a ground,-0.8266,0.0,0.303,0.697,-0.6808,0.079,0.243,0.679
187,87,@CBSNews,A fire truck carrying fallen FDNY firefighter Lt. Davidson's body was escorted by a large motorcade from Long Islan… https://t.co/sk5DIWbUCv,A fire truck carrying fallen FDNY firefighter Lt Davidson s body was escorted by a large motorcade from Long Islan,-0.5994,0.0,0.234,0.766,-0.5994,0.0,0.246,0.754
188,88,@CBSNews,"Facebook CEO Mark Zuckerberg is likely to testify before lawmakers on Capitol Hill, according to a source familiar… https://t.co/Tgba0u8ncU",Facebook CEO Mark Zuckerberg is likely to testify before lawmakers on Capitol Hill according to a source familiar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
189,89,@CBSNews,A statue of a naked Donald Trump is going on the auction block: https://t.co/szzhrPeKBx https://t.co/20o46m5i4V,A statue of a naked Donald Trump is going on the auction block,-0.4404,0.0,0.195,0.805,-0.4404,0.0,0.225,0.775
190,90,@CBSNews,"Sacramento Mayor Darrell Steinberg: ""But for all of this within our control, these days, these weeks and these mont… https://t.co/RyH8TsXZqj",Sacramento Mayor Darrell Steinberg But for all of this within our control these days these weeks and these mont,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
191,91,@CBSNews,"""We will release body-worn camera and helicopter video within three days because that is the right thing to do with… https://t.co/sWCyUYqb3C",We will release body worn camera and helicopter video within three days because that is the right thing to do with,0.0,0.0,0.0,1.0,-0.296,0.0,0.099,0.901
192,92,@CBSNews,"""Our city is at a critical point, right now and I believe this will help build faith and confidence in the investig… https://t.co/QhmHM2d21P",Our city is at a critical point right now and I believe this will help build faith and confidence in the investig,0.7579,0.313,0.082,0.605,0.7579,0.325,0.085,0.59
193,93,@CBSNews,"Sacramento, Calif., police chief Daniel Hahn announces the California Department of Justice will take part in the i… https://t.co/kyTuk1UaWM",Sacramento Calif police chief Daniel Hahn announces the California Department of Justice will take part in the i,0.5267,0.159,0.0,0.841,0.5267,0.175,0.0,0.825
194,94,@CBSNews,Report: President Trump is still in touch with Rob Porter after his resignation and wants to bring him back… https://t.co/6UZCxguc3B,Report President Trump is still in touch with Rob Porter after his resignation and wants to bring him back,-0.7003,0.0,0.244,0.756,-0.7003,0.0,0.254,0.746
195,95,@CBSNews,"WATCH LIVE: California officials deliver update on investigation into fatal police shooting of Stephon Clark, an un… https://t.co/8lil0B9xsc",WATCH LIVE California officials deliver update on investigation into fatal police shooting of Stephon Clark an un,-0.5423,0.0,0.171,0.829,-0.5423,0.0,0.179,0.821
196,96,@CBSNews,"WATCH: A mountain lion took a romp through a Southern California neighborhood, hoping fences and forcing residents… https://t.co/LwMerFuBFq",WATCH A mountain lion took a romp through a Southern California neighborhood hoping fences and forcing residents,0.4215,0.167,0.0,0.833,0.4215,0.177,0.0,0.823
197,97,@CBSNews,"RT @CBSThisMorning: Former President Jimmy Carter said he watched ""with great attention"" as various #MarchforOurLives rallies, led by Flori…",RT Former President Jimmy Carter said he watched with great attention as various MarchforOurLives rallies led by Flori,0.6249,0.186,0.0,0.814,0.6249,0.194,0.0,0.806
198,98,@CBSNews,"Former President Jimmy Carter sees ""no threat"" to the 2nd Amendment from March for Our Lives youth:… https://t.co/iBihfUJdQG",Former President Jimmy Carter sees no threat to the 2nd Amendment from March for Our Lives youth,-0.6808,0.0,0.259,0.741,-0.6808,0.0,0.272,0.728
199,99,@CBSNews,"Two Louisiana officers who fatally shot a black man in 2016 won't be prosecuted in the death, Louisiana Attorney Ge… https://t.co/HC3nxo3x1p",Two Louisiana officers who fatally shot a black man in 2016 won t be prosecuted in the death Louisiana Attorney Ge,-0.7855,0.08,0.297,0.623,-0.7906,0.126,0.364,0.51
200,0,@CNN,"Heineken has pulled an ad with the tagline ""Sometimes lighter is better"" after critics slammed it as racist.… https://t.co/cJ3fWyLp4y",Heineken has pulled an ad with the tagline Sometimes lighter is better after critics slammed it as racist,0.1779,0.131,0.1,0.769,-0.5106,0.12,0.257,0.622
201,1,@CNN,"Former President Barack Obama says he aspires to create ""a million young Barack Obamas or Michelle Obamas"" who will… https://t.co/1QpomqEwNc",Former President Barack Obama says he aspires to create a million young Barack Obamas or Michelle Obamas who will,0.2732,0.1,0.0,0.9,0.2732,0.11,0.0,0.89
202,2,@CNN,Apple co-founder Steve Jobs warned about privacy issues in tech at a conference in 2010. Facebook's Mark Zuckerberg… https://t.co/z4A3NW8cBb,Apple co founder Steve Jobs warned about privacy issues in tech at a conference in 2010 Facebook s Mark Zuckerberg,-0.2732,0.0,0.11,0.89,-0.2732,0.0,0.11,0.89
203,3,@CNN,"""They didn't have to kill him like that. They didn't have to shoot him that many times."" The grandmother of Stephon… https://t.co/4pvJGbpw9J",They didn t have to kill him like that They didn t have to shoot him that many times The grandmother of Stephon,0.806,0.303,0.0,0.697,-0.6808,0.091,0.257,0.652
204,4,@CNN,"Facebook's stock has plunged 18% amid its data scandal, wiping out nearly $80 billion in market value… https://t.co/qm59i14Pq0",Facebook s stock has plunged 18 amid its data scandal wiping out nearly 80 billion in market value,-0.4404,0.0,0.146,0.854,-0.128,0.118,0.143,0.739
205,5,@CNN,Democrats may already be 35% of the way to a House majority https://t.co/Ya3cFVnqud | Analysis by Harry Enten https://t.co/PKanQAjkpg,Democrats may already be 35 of the way to a House majority Analysis by Harry Enten,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
206,6,@CNN,England's health agency is warning parents to be aware of the signs and symptoms of scarlet fever as infections con… https://t.co/vKJ6QOKqmv,England s health agency is warning parents to be aware of the signs and symptoms of scarlet fever as infections con,-0.34,0.0,0.107,0.893,-0.34,0.0,0.112,0.888
207,7,@CNN,Blue states are far more likely to lose money and power over Census citizenship question | Analysis by CNN's Harry… https://t.co/13EWDxnd6X,Blue states are far more likely to lose money and power over Census citizenship question Analysis by CNN s Harry,-0.4522,0.0,0.135,0.865,-0.4522,0.0,0.141,0.859
208,8,@CNN,"An Ohio fertility clinic says more than 4,000 eggs and embryos were affected by a freezer malfunction, double the n… https://t.co/0EZ5F2Ua6p",An Ohio fertility clinic says more than 4 000 eggs and embryos were affected by a freezer malfunction double the n,-0.1531,0.0,0.078,0.922,-0.1531,0.0,0.086,0.914
209,9,@CNN,"Wall Street bonuses soar 17% to an average of $184,200 https://t.co/qlOQGfehL8 https://t.co/1bw7FWYwwl",Wall Street bonuses soar 17 to an average of 184 200,0.5574,0.247,0.0,0.753,0.5574,0.265,0.0,0.735
210,10,@CNN,"Waymo and Jaguar unveil a self-driving, electric SUV https://t.co/DTylJKCuML https://t.co/2aD3JXwfGM",Waymo and Jaguar unveil a self driving electric SUV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
211,11,@CNN,11 reasons (besides the NCAA Final Four) to visit San Antonio https://t.co/1YGqpmrZKz via @CNNTravel https://t.co/Vi45YehYXR,11 reasons besides the NCAA Final Four to visit San Antonio via,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
212,12,@CNN,Former Disney Channel star Caroline Sunshine is joining the White House press team https://t.co/rOYDj2tPs1 https://t.co/xamwbkWP7h,Former Disney Channel star Caroline Sunshine is joining the White House press team,0.4939,0.186,0.0,0.814,0.4939,0.211,0.0,0.789
213,13,@CNN,"Walmart says it will stop selling Cosmopolitan magazine in checkout lines 

The National Center on Sexual Exploitat… https://t.co/oJWSfJKGk2",Walmart says it will stop selling Cosmopolitan magazine in checkout lines The National Center on Sexual Exploitat,-0.296,0.0,0.115,0.885,-0.296,0.0,0.121,0.879
214,14,@CNN,"Prince had a ""exceedingly high"" concentration of fentanyl in his body when he died https://t.co/xzXGWvrqky https://t.co/5CBfqJYBNs",Prince had a exceedingly high concentration of fentanyl in his body when he died,-0.5574,0.0,0.205,0.795,-0.5574,0.0,0.231,0.769
215,15,@CNN,"An Ohio fertility clinic says more than 4,000 eggs and embryos were affected by a freezer malfunction, double the n… https://t.co/2kUalNEtFo",An Ohio fertility clinic says more than 4 000 eggs and embryos were affected by a freezer malfunction double the n,-0.1531,0.0,0.078,0.922,-0.1531,0.0,0.086,0.914
216,16,@CNN,President Trump has privately floated the idea of funding construction of a border wall with Mexico through the US… https://t.co/OVJnG1Arkl,President Trump has privately floated the idea of funding construction of a border wall with Mexico through the US,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
217,17,@CNN,"Sean Penn, who has done work in Haiti for years, says he felt ""deep hurt"" following the controversy over Pres. Trum… https://t.co/jkTdsZtERk",Sean Penn who has done work in Haiti for years says he felt deep hurt following the controversy over Pres Trum,-0.5267,0.0,0.139,0.861,-0.5267,0.0,0.145,0.855
218,18,@CNN,"Actor Sean Penn smoked a cigarette during an interview on ""The Late Show With Stephen Colbert,"" and viewers had a s… https://t.co/DYMvSOouIc",Actor Sean Penn smoked a cigarette during an interview on The Late Show With Stephen Colbert and viewers had a s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
